query,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
N,Reactome_2022,Macroautophagy R-HSA-1632852,2/114,0.003221534238839,0.0094033972376923,0,0,27.298076923076923,156.63356900273516,CSNK2A2;CSNK2B
N,Reactome_2022,Cap-dependent Translation Initiation R-HSA-72737,2/116,0.0033331863204364,0.0094732663843982,0,0,26.81646423751687,152.95646148610297,RPL36;PABPC1
N,KEGG_2021_Human,Wnt signaling pathway,2/166,0.0066974179551681,0.0100461269327522,0,0,18.593808630394,93.08122344256824,CSNK2A2;CSNK2B
N,Reactome_2022,Glycerophospholipid Biosynthesis R-HSA-1483206,2/127,0.0039793479428169,0.0109100638577862,0,0,24.443076923076923,135.0880208104625,CSNK2A2;CSNK2B
N,Reactome_2022,Autophagy R-HSA-9612973,2/128,0.0040407643917726,0.0109100638577862,0,0,24.247863247863247,133.63776759850597,CSNK2A2;CSNK2B
N,GO_Biological_Process_2023,mRNA Stabilization (GO:0048255),2/53,0.0007076560338338472,0.0111047562232388,0,0,60.13273001508296,436.1759087353045,LARP1;PABPC1
N,GO_Biological_Process_2023,Peptidyl-Threonine Phosphorylation (GO:0018107),2/58,0.0008470439593569769,0.0123426405506302,0,0,54.75,387.2882485613963,CSNK2A2;CSNK2B
N,Reactome_2022,Infectious Disease R-HSA-5663205,4/961,0.0047248813389317,0.0124460288927959,0,0,7.230170038947469,38.71693031769452,LARP1;G3BP1;RPL36;G3BP2
N,GO_Biological_Process_2023,Positive Regulation Of Organelle Assembly (GO:1902117),2/61,0.0009365269021087002,0.0127367658686783,0,0,51.958279009126464,362.32234580030286,G3BP1;G3BP2
N,GO_Biological_Process_2023,Regulation Of Viral Genome Replication (GO:0045069),2/67,0.0011285741249095,0.013542889498914,0,0,47.14792899408284,319.9835776705031,LARP1;PABPC1
N,GO_Biological_Process_2023,Peptidyl-Threonine Modification (GO:0018210),2/66,0.0010953593235033,0.013542889498914,0,0,47.88701923076923,326.43014243196444,CSNK2A2;CSNK2B
N,GO_Biological_Process_2023,Gene Expression (GO:0010467),3/296,0.0012796045973851,0.0145021854370315,0,0,16.802047781569964,111.9218705298065,UPF1;PABPC4;RPL36
N,GO_Biological_Process_2023,Regulation Of mRNA Stability (GO:0043488),2/74,0.0013745173165769,0.0147579753990367,0,0,42.5491452991453,280.3840881601199,LARP1;PABPC1
N,Reactome_2022,Regulation Of TP53 Activity R-HSA-5633007,2/157,0.0060121380498469,0.0154597835567493,0,0,19.68238213399504,100.65520712237644,CSNK2A2;CSNK2B
N,Reactome_2022,Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,2/167,0.0067756699481309,0.0170179617301892,0,0,18.48018648018648,92.29775810697022,RPL36;PABPC1
N,Reactome_2022,Developmental Biology R-HSA-1266738,4/1073,0.0069870096316201,0.0171499327321584,0,0,6.434560761969555,31.93924611857336,CSNK2A2;CSNK2B;RPL36;PABPC1
N,Reactome_2022,Competing Endogenous RNAs (ceRNAs) Regulate PTEN Translation R-HSA-8948700,1/10,0.0074763281564485,0.0179431875754766,0,0,158.53968253968253,776.212425317664,MOV10
N,Reactome_2022,Regulation Of PTEN mRNA Translation R-HSA-8943723,1/11,0.0082210881236714,0.0187684958888264,0,0,142.67857142857142,685.0073410932765,MOV10
N,Reactome_2022,Cellular Response To Chemical Stress R-HSA-9711123,2/182,0.0079994983375779,0.0187684958888264,0,0,16.927350427350426,81.73162011474064,CSNK2A2;CSNK2B
N,Reactome_2022,Mitotic Prometaphase R-HSA-68877,2/186,0.0083415537283673,0.0187684958888264,0,0,16.556020066889634,79.24548577041114,CSNK2A2;CSNK2B
N,Reactome_2022,TCF Dependent Signaling In Response To WNT R-HSA-201681,2/198,0.0094068125348507,0.0207333827298751,0,0,15.532967032967033,72.48181203601595,CSNK2A2;CSNK2B
N,Reactome_2022,Phospholipid Metabolism R-HSA-1483257,2/208,0.0103387760004254,0.0220958698127472,0,0,14.771471247199402,67.53300683654336,CSNK2A2;CSNK2B
N,Reactome_2022,Signaling By ROBO Receptors R-HSA-376176,2/209,0.0104341607449084,0.0220958698127472,0,0,14.699368264585656,67.06836907845468,RPL36;PABPC1
N,KEGG_2021_Human,Prion disease,2/273,0.0173374026932603,0.0236419127635368,0,0,11.191598069826853,45.3806890904839,CSNK2A2;CSNK2B
N,Reactome_2022,Regulation Of RUNX1 Expression And Activity R-HSA-8934593,1/17,0.012678709933633,0.0263327052467763,0,0,89.14732142857143,389.38044082427126,MOV10
N,GO_Biological_Process_2023,Positive Regulation Of Translation (GO:0045727),2/108,0.0028974379576251,0.029553867167777,0,0,28.851959361393323,168.60878457384547,LARP1;PABPC1
N,GO_Biological_Process_2023,Small GTPase Mediated Signal Transduction (GO:0007264),2/112,0.0031116888600155,0.0302278346401509,0,0,27.797202797202797,160.46184539900213,G3BP1;G3BP2
N,GO_Biological_Process_2023,"Negative Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Nonsense-Mediated Decay (GO:2000623)",1/5,0.0037446970839379,0.0305567282049339,0,0,356.80357142857144,1993.609466758919,PABPC1
N,GO_Biological_Process_2023,Morphogenesis Of An Endothelium (GO:0003159),1/5,0.0037446970839379,0.0305567282049339,0,0,356.80357142857144,1993.609466758919,CSNK2B
N,GO_Biological_Process_2023,Positive Regulation Of Activin Receptor Signaling Pathway (GO:0032927),1/5,0.0037446970839379,0.0305567282049339,0,0,356.80357142857144,1993.609466758919,CSNK2B
N,GO_Biological_Process_2023,Adiponectin-Activated Signaling Pathway (GO:0033211),1/5,0.0037446970839379,0.0305567282049339,0,0,356.80357142857144,1993.609466758919,CSNK2B
N,GO_Biological_Process_2023,Non-Membrane-Bounded Organelle Assembly (GO:0140694),2/135,0.0044830524255101,0.0339400723042875,0,0,22.96356275303644,124.1743431185765,G3BP1;G3BP2
N,GO_Biological_Process_2023,Regulation Of Translational Termination (GO:0006449),1/6,0.0044920683932145,0.0339400723042875,0,0,285.42857142857144,1542.8675927558304,UPF1
N,GO_Biological_Process_2023,Positive Regulation Of Cellular Catabolic Process (GO:0031331),2/146,0.0052214441560878,0.0352810745736245,0,0,21.197649572649578,111.39325119876352,UPF1;MOV10
N,GO_Biological_Process_2023,Cytoplasmic Sequestering Of NF-kappaB (GO:0007253),1/7,0.0052389168941443,0.0352810745736245,0,0,237.8452380952381,1249.0776854949,G3BP2
N,GO_Biological_Process_2023,Defense Response To Symbiont (GO:0140546),2/148,0.005361339763639,0.0352810745736245,0,0,20.905163329820866,109.3035115095383,MOV10;G3BP1
N,GO_Biological_Process_2023,Ras Protein Signal Transduction (GO:0007265),2/144,0.0050832775244725,0.0352810745736245,0,0,21.49837486457205,113.55009579541291,G3BP1;G3BP2
